unique_code,violation_type,category,vehicle_age,belts,personal_injured,contributed_to_accident,property_damaged,vehicle_category,arrest_category
"""Code_13058""",1,7,12,1,0,0,0,1,1
"""Code_11681""",1,3,25,1,0,0,0,1,1
"""Code_11245""",1,4,10,1,0,0,0,1,1
"""Code_27718""",1,7,10,1,0,0,0,1,1
"""Code_29899""",1,1,23,1,0,0,0,1,1
"""Code_18156""",1,6,26,1,0,0,0,1,1
"""Code_8623""",1,5,12,1,0,0,0,1,1
"""Code_3531""",1,4,19,1,0,0,0,1,2
"""Code_16237""",1,3,13,1,0,0,0,1,1
"""Code_30771""",1,4,19,1,0,0,0,2,2
"""Code_1446""",1,7,12,1,0,0,0,1,1
"""Code_13274""",1,6,18,1,0,0,0,1,1
"""Code_25993""",1,4,10,1,0,0,0,1,2
"""Code_10740""",1,5,14,1,0,0,0,1,1
"""Code_15547""",1,2,24,1,0,0,1,1,1
"""Code_27780""",1,12,26,1,0,0,0,1,1
"""Code_26759""",1,6,20,1,0,0,0,1,1
"""Code_10475""",1,7,14,1,0,0,0,1,1
"""Code_13885""",1,7,22,1,0,0,0,1,1
"""Code_4308""",1,5,19,1,0,0,0,1,1
"""Code_12359""",1,2,18,1,0,0,0,1,1
"""Code_9814""",1,4,9,1,0,0,0,3,2
"""Code_22117""",1,7,15,1,1,0,0,1,1
"""Code_27974""",1,15,25,1,0,0,0,1,1
"""Code_13318""",1,7,22,1,0,0,0,1,1
"""Code_26756""",1,0,21,1,0,0,0,1,2
"""Code_31303""",1,3,15,1,0,0,0,1,1
"""Code_26722""",1,4,6,1,0,0,0,1,1
"""Code_21052""",1,15,12,1,0,0,0,1,1
"""Code_14825""",1,1,20,1,0,0,0,1,1
"""Code_18768""",1,13,12,1,0,0,0,2,1
"""Code_16164""",1,3,13,1,0,0,0,1,1
"""Code_351""",1,15,29,1,0,0,0,1,1
"""Code_10077""",1,4,13,1,0,0,0,1,1
"""Code_3864""",1,7,16,1,0,0,0,1,1
"""Code_23397""",1,8,12,1,0,1,0,1,1
"""Code_26233""",1,13,21,1,0,0,0,1,1
"""Code_28498""",1,9,9,1,0,0,0,1,1
"""Code_30551""",1,12,11,1,0,0,0,1,1
"""Code_10616""",1,3,12,1,0,0,0,1,1
"""Code_31992""",1,4,26,1,0,0,0,1,2
"""Code_12722""",1,3,9,1,1,0,0,1,1
"""Code_1832""",1,0,11,1,0,0,0,1,1
"""Code_27367""",1,2,13,1,0,0,0,1,1
"""Code_32311""",1,4,19,1,0,0,0,1,1
"""Code_1837""",1,2,14,1,0,0,0,1,1
"""Code_1284""",1,2,11,1,0,0,0,1,1
"""Code_28304""",1,2,10,1,0,0,0,1,1
"""Code_30889""",1,6,29,1,0,0,0,1,1
"""Code_23442""",1,2,24,1,0,0,0,1,1
"""Code_25077""",1,1,21,1,0,0,0,1,2
"""Code_5955""",1,4,23,1,0,0,0,1,1
"""Code_13578""",1,13,18,1,0,0,0,1,1
"""Code_17007""",1,15,26,1,0,0,0,1,1
"""Code_26962""",1,4,24,1,0,0,0,2,2
"""Code_21780""",1,3,8,1,0,0,0,1,1
"""Code_21316""",1,0,21,1,0,0,0,1,1
"""Code_24202""",1,7,25,1,0,0,0,3,1
"""Code_31301""",1,3,19,1,0,0,0,1,1
"""Code_31700""",1,7,26,1,0,0,0,1,1
"""Code_21550""",1,13,18,1,0,0,0,1,1
"""Code_16313""",1,9,29,1,0,0,1,1,1
"""Code_4333""",1,12,32,1,0,0,0,1,1
"""Code_5305""",1,4,15,1,0,0,0,1,2
"""Code_12835""",1,4,21,1,0,0,0,1,2
"""Code_20464""",1,7,19,1,0,0,0,1,1
"""Code_9345""",1,12,18,1,0,0,0,1,1
"""Code_25453""",1,7,10,1,0,0,0,1,1
"""Code_28947""",1,1,18,1,0,0,0,2,1
"""Code_9290""",1,7,29,1,0,0,0,1,1
"""Code_5320""",1,2,9,1,0,1,1,2,1
"""Code_25084""",1,5,19,1,0,0,0,1,1
"""Code_28646""",1,16,17,1,0,0,0,1,2
"""Code_5793""",1,3,20,1,0,0,0,1,1
"""Code_23542""",1,1,18,1,0,0,0,1,1
"""Code_3332""",1,7,17,1,1,0,0,1,1
"""Code_1774""",1,15,21,1,0,0,0,1,1
"""Code_10733""",1,4,14,1,0,0,0,1,2
"""Code_2587""",1,15,21,1,0,0,0,1,1
"""Code_7054""",1,5,23,1,0,0,0,1,1
"""Code_17451""",1,12,23,1,0,0,0,1,1
"""Code_5776""",1,6,21,1,0,0,0,1,2
"""Code_29236""",1,7,24,1,0,0,0,1,1
"""Code_84""",1,7,25,1,0,0,0,1,1
"""Code_10316""",1,4,12,1,0,0,0,2,2
"""Code_29037""",1,4,22,1,0,0,0,1,2
"""Code_1726""",1,8,16,1,0,0,1,1,1
"""Code_5044""",1,2,21,1,0,0,0,1,1
"""Code_19623""",1,7,21,1,0,1,1,1,1
"""Code_2531""",1,7,20,1,0,0,0,1,1
"""Code_1146""",1,5,21,1,0,0,0,1,1
"""Code_17303""",1,2,22,1,0,0,0,1,1
"""Code_13579""",1,13,17,1,0,0,0,1,1
"""Code_20981""",1,0,20,1,0,0,0,1,1
"""Code_29005""",1,15,20,1,0,0,0,1,1
"""Code_13616""",1,7,28,1,0,0,0,1,1
"""Code_28301""",1,8,27,1,0,0,1,2,1
"""Code_30803""",1,2,20,1,0,0,0,1,1
"""Code_5450""",1,3,19,1,0,0,0,1,1
"""Code_16098""",1,2,18,1,0,0,0,1,1
"""Code_18142""",1,3,20,1,0,0,0,1,1
"""Code_15910""",1,12,11,1,0,0,0,1,1
"""Code_24390""",1,15,28,1,0,0,0,1,1
"""Code_21983""",1,7,32,1,0,0,1,1,1
"""Code_22212""",1,4,18,1,0,0,0,1,1
"""Code_3649""",1,0,19,1,0,0,0,1,1
"""Code_14831""",1,2,20,1,0,0,0,1,1
"""Code_16141""",1,7,9,1,0,0,0,1,1
"""Code_3671""",1,13,23,1,0,0,0,1,1
"""Code_25154""",1,0,13,1,0,0,0,1,1
"""Code_8363""",1,7,19,1,0,0,0,1,2
"""Code_28095""",1,5,22,1,0,0,0,1,1
"""Code_4360""",1,13,17,1,0,0,0,1,1
"""Code_19167""",1,7,23,1,0,0,0,1,1
"""Code_20319""",1,9,9,1,1,0,0,1,1
"""Code_4936""",1,6,7,1,0,0,0,1,1
"""Code_16014""",1,7,28,1,0,0,0,1,1
"""Code_1968""",1,7,10,1,0,0,0,3,2
"""Code_9984""",1,7,24,1,0,0,0,2,1
"""Code_15086""",1,4,12,1,0,0,0,1,2
"""Code_5073""",1,4,9,1,0,0,0,1,1
"""Code_22249""",1,4,10,1,0,0,0,1,2
"""Code_19000""",1,9,13,1,0,1,1,1,1
"""Code_22680""",1,4,27,1,0,0,0,1,2
"""Code_18246""",1,0,25,1,0,0,0,1,1
"""Code_11981""",1,11,16,1,0,0,0,1,1
"""Code_32166""",1,4,17,1,0,0,0,1,2
"""Code_19388""",1,3,25,1,0,0,0,1,1
"""Code_29840""",1,12,24,1,0,0,0,1,1
"""Code_10757""",1,4,12,1,0,0,0,1,2
"""Code_19518""",1,7,20,1,0,0,0,1,1
"""Code_21569""",1,9,29,1,0,0,0,2,2
"""Code_27557""",1,0,16,1,0,0,0,1,1
"""Code_27278""",1,7,14,1,0,0,0,1,1
"""Code_22350""",1,7,16,1,0,0,0,1,1
"""Code_30507""",1,7,22,1,0,0,0,4,1
"""Code_19380""",1,12,18,1,0,0,0,1,1
"""Code_15674""",1,7,33,1,0,0,0,1,1
"""Code_24502""",1,2,21,1,0,0,0,1,1
"""Code_506""",1,12,27,1,0,0,0,1,1
"""Code_7179""",1,2,9,1,0,0,0,1,1
"""Code_9153""",1,7,10,1,0,0,0,1,1
"""Code_9061""",1,7,30,1,0,0,0,1,1
"""Code_25368""",1,12,16,1,0,0,0,1,2
"""Code_21741""",1,2,21,1,0,0,0,1,1
"""Code_10078""",1,7,9,1,0,0,0,1,1
"""Code_28632""",1,13,22,1,0,0,0,1,1
"""Code_20417""",1,15,19,1,0,0,0,1,1
"""Code_27450""",1,7,28,1,0,0,0,1,1
"""Code_4376""",1,4,18,1,0,0,0,1,2
"""Code_22723""",1,7,21,1,0,1,0,1,1
"""Code_29022""",1,1,15,1,0,0,0,2,1
"""Code_15470""",1,12,14,1,0,0,0,1,1
"""Code_3851""",1,3,18,1,0,0,0,1,1
"""Code_12361""",1,4,14,1,0,0,0,1,2
"""Code_27913""",1,8,26,1,0,1,0,3,1
"""Code_8991""",1,5,28,1,0,0,0,1,1
"""Code_3541""",1,5,7,1,0,0,0,1,1
"""Code_12319""",1,7,24,1,0,0,0,1,1
"""Code_3462""",1,3,24,1,0,0,0,1,1
"""Code_21463""",1,4,12,1,0,0,0,1,2
"""Code_25548""",1,7,18,1,0,0,0,1,1
"""Code_14711""",1,7,21,1,0,0,0,1,1
"""Code_7837""",1,7,23,1,0,0,0,1,1
"""Code_29439""",1,7,24,1,0,0,0,1,1
"""Code_21274""",1,15,21,1,0,0,0,1,1
"""Code_28367""",1,7,17,1,0,0,0,1,1
"""Code_21976""",1,1,24,1,0,0,0,1,2
"""Code_3223""",1,15,8,1,0,0,0,1,1
"""Code_1115""",1,13,13,1,0,0,0,1,1
"""Code_3256""",1,2,6,1,0,0,0,2,3
"""Code_19058""",1,7,18,1,0,0,0,1,1
"""Code_26797""",1,7,22,1,0,0,0,1,1
"""Code_28024""",1,0,12,1,0,1,0,1,1
"""Code_17047""",1,13,12,1,0,1,1,1,1
"""Code_23788""",1,4,21,1,0,0,0,2,2
"""Code_2223""",1,2,18,1,0,0,0,1,1
"""Code_5670""",1,4,25,1,0,0,0,3,2
"""Code_30054""",1,0,21,1,0,0,0,1,2
"""Code_9889""",1,14,17,1,0,0,0,1,1
"""Code_838""",1,8,21,1,0,0,0,1,1
"""Code_24238""",1,3,25,1,0,0,1,1,1
"""Code_24927""",1,5,28,1,0,0,0,1,1
"""Code_7249""",1,4,26,1,0,0,0,1,2
"""Code_9741""",1,3,26,1,0,1,1,1,1
"""Code_9957""",1,4,28,1,0,0,0,1,1
"""Code_12771""",1,13,15,1,0,0,0,1,1
"""Code_26964""",1,7,16,1,0,0,0,1,1
"""Code_1215""",1,13,11,1,0,0,0,1,1
"""Code_13836""",1,7,22,1,0,0,0,1,1
"""Code_4005""",1,2,18,1,0,0,0,1,1
"""Code_18907""",1,7,7,1,0,0,0,1,1
"""Code_17690""",1,7,10,1,0,0,0,2,2
"""Code_23237""",1,2,9,1,0,0,0,1,1
"""Code_6346""",1,4,11,1,0,0,0,3,1
"""Code_10869""",1,7,21,1,0,0,0,3,2
"""Code_17856""",1,7,18,1,0,0,0,1,1
"""Code_7871""",1,4,7,1,0,0,0,1,1
"""Code_28030""",1,9,15,1,0,0,0,1,1
"""Code_8676""",1,2,21,1,0,1,0,1,1
"""Code_9477""",1,8,18,1,0,0,1,1,1
"""Code_24445""",1,1,17,1,0,0,0,1,2
"""Code_24333""",1,3,8,1,0,0,0,1,1
"""Code_5070""",1,6,15,1,0,0,0,1,1
"""Code_8183""",1,7,16,1,0,0,0,1,1
"""Code_10140""",1,5,25,1,0,0,0,1,1
"""Code_2822""",1,4,15,1,0,0,0,1,2
"""Code_26300""",1,7,11,1,0,0,0,1,2
"""Code_18281""",1,7,26,1,0,0,0,1,1
"""Code_19609""",1,8,13,1,0,0,1,1,1
"""Code_29223""",1,4,8,1,0,0,0,1,1
"""Code_30440""",1,15,17,1,0,0,0,1,1
"""Code_1065""",1,1,23,1,0,0,0,2,2
"""Code_26712""",1,2,11,1,0,0,0,1,1
"""Code_20384""",1,4,14,1,0,0,0,1,2
"""Code_14306""",1,7,19,1,0,0,0,1,1
